ProductKey,ProductName,Category,UnitPrice
1,Product 1,Accessories,847
2,Product 2,Electronics,1256
3,Product 3,Home Office,1032
4,Product 4,Accessories,630
5,Product 5,Accessories,317
6,Product 6,Home Office,147
7,Product 7,Home Office,458
8,Product 8,Accessories,132
9,Product 9,Accessories,1480
10,Product 10,Accessories,826
11,Product 11,Electronics,1402
12,Product 12,Accessories,891
13,Product 13,Accessories,1499
14,Product 14,Accessories,1080
15,Product 15,Accessories,935
16,Product 16,Accessories,1289
17,Product 17,Home Office,1159
18,Product 18,Electronics,973
19,Product 19,Accessories,1118
20,Product 20,Accessories,1047
