SalesKey,DateKey,CustomerKey,ProductKey,Quantity,SalesAmount
1,20240705,143,18,4,3892
2,20230518,54,16,2,2578
3,20251119,55,6,1,147
4,20230210,128,5,3,951
5,20250518,168,2,4,5024
6,20240418,22,14,5,5400
7,20250717,156,14,4,4320
8,20240524,24,20,3,3141
9,20230730,116,6,2,294
10,20250107,197,2,5,6280
11,20230729,34,3,2,2064
12,20230413,63,15,2,1870
13,20231025,5,11,1,1402
14,20241113,60,17,2,2318
15,20240424,9,17,1,1159
16,20231112,154,20,5,5235
17,20231123,133,5,2,634
18,20230325,116,17,1,1159
19,20230616,75,14,3,3240
20,20251129,95,3,5,5160
21,20230320,140,7,3,1374
22,20240219,70,2,1,1256
23,20251230,143,2,5,6280
24,20230610,153,15,2,1870
25,20230115,115,13,3,4497
26,20250404,70,8,5,660
27,20230312,24,20,4,4188
28,20230926,38,20,1,1047
29,20250206,89,9,5,7400
30,20250721,141,13,3,4497
31,20240817,37,14,4,4320
32,20240922,163,8,3,396
33,20241214,56,15,5,4675
34,20230111,113,2,5,6280
35,20231119,193,5,2,634
36,20250811,184,20,2,2094
37,20240110,65,16,5,6445
38,20250711,76,11,4,5608
39,20230521,118,14,4,4320
40,20230324,52,13,3,4497
41,20250629,142,8,3,396
42,20230822,67,16,5,6445
43,20230109,60,13,5,7495
44,20240110,162,11,5,7010
45,20251130,154,15,1,935
46,20231116,111,13,4,5996
47,20250329,98,3,2,2064
48,20230425,51,1,5,4235
49,20231109,173,15,1,935
50,20231213,51,16,2,2578
51,20250126,166,15,4,3740
52,20240722,132,9,1,1480
53,20230711,142,13,5,7495
54,20250306,116,11,1,1402
55,20231124,168,11,2,2804
56,20240403,176,16,5,6445
57,20240526,135,19,5,5590
58,20240407,143,15,4,3740
59,20230730,94,5,3,951
60,20230618,108,11,1,1402
61,20240311,170,9,1,1480
62,20230101,125,3,5,5160
63,20230425,159,10,4,3304
64,20240210,140,3,1,1032
65,20240812,180,4,1,630
66,20251108,50,1,3,2541
67,20241229,179,2,2,2512
68,20240531,26,16,3,3867
69,20241217,169,2,1,1256
70,20230529,36,4,3,1890
71,20250110,101,8,2,264
72,20240812,197,5,5,1585
73,20230424,136,19,1,1118
74,20230531,158,7,5,2290
75,20250628,177,12,3,2673
76,20240625,51,15,4,3740
77,20240603,130,1,5,4235
78,20240303,61,17,4,4636
79,20230324,142,11,1,1402
80,20241102,165,20,1,1047
81,20240307,58,18,4,3892
82,20250330,151,2,5,6280
83,20240330,191,9,3,4440
84,20250217,5,14,3,3240
85,20250130,174,2,1,1256
86,20250103,165,2,3,3768
87,20230427,187,12,1,891
88,20250818,50,6,4,588
89,20231115,139,16,1,1289
90,20240325,40,17,1,1159
91,20230312,187,3,2,2064
92,20250329,154,16,1,1289
93,20230215,130,20,3,3141
94,20230120,63,9,1,1480
95,20240623,7,2,1,1256
96,20250526,125,19,4,4472
97,20251119,5,1,3,2541
98,20250305,196,2,1,1256
99,20231014,132,8,5,660
100,20241130,152,12,5,4455
101,20240212,41,20,2,2094
102,20240309,53,16,1,1289
103,20250410,40,17,4,4636
104,20231020,105,17,2,2318
105,20230819,136,17,3,3477
106,20240430,189,18,2,1946
107,20231016,19,4,1,630
108,20240527,123,10,4,3304
109,20241023,14,12,3,2673
110,20230812,22,1,5,4235
111,20240721,103,20,5,5235
112,20240209,153,18,4,3892
113,20231004,117,4,3,1890
114,20230202,72,1,2,1694
115,20240313,63,13,3,4497
116,20251127,50,6,5,735
117,20241026,35,17,5,5795
118,20240401,32,5,3,951
119,20250816,42,8,3,396
120,20241205,153,6,3,441
121,20240706,163,17,2,2318
122,20250227,16,18,4,3892
123,20250323,117,19,2,2236
124,20240910,172,12,3,2673
125,20250212,106,7,2,916
126,20230302,68,4,5,3150
127,20241224,108,12,2,1782
